filename	condition_code	description	item_code	target_onset
mando_sent_family_e.wav	4	mando_noswitch_family	4038	717
mando_sent_finger_e.wav	4	mando_noswitch_finger	4039	810
mando_sent_friedrice_e.wav	4	mando_noswitch_friedrice	4040	605
mando_sent_friend_e.wav	4	mando_noswitch_friend	4041	708
mando_sent_frog_e.wav	4	mando_noswitch_frog	4042	627
mando_sent_game_e.wav	4	mando_noswitch_game	4043	630
mando_sent_garbage_e.wav	4	mando_noswitch_garbage	4044	680
mando_sent_garden_e.wav	4	mando_noswitch_garden	4045	695
mando_sent_garlic_e.wav	4	mando_noswitch_garlic	4046	822
mando_sent_gift_e.wav	4	mando_noswitch_gift	4047	660
mando_sent_grapes_e.wav	4	mando_noswitch_grapes	4048	780
mando_sent_greentea_e.wav	4	mando_noswitch_greentea	4049	602
mando_sent_hanger_e.wav	4	mando_noswitch_hanger	4050	618
mando_sent_homework_e.wav	4	mando_noswitch_homework	4051	840
mando_sent_honey_e.wav	4	mando_noswitch_honey	4052	888
mando_sent_hotel_e.wav	4	mando_noswitch_hotel	4053	644
mando_sent_hotpot_e.wav	4	mando_noswitch_hotpot	4054	895
mando_sent_house_e.wav	4	mando_noswitch_house	4055	575
mando_sent_keys_e.wav	4	mando_noswitch_keys	4056	598
mando_sent_language_e.wav	4	mando_noswitch_language	4057	438
mando_sent_law_e.wav	4	mando_noswitch_law	4058	477
mando_sent_letter_e.wav	4	mando_noswitch_letter	4059	592
mando_sent_luggage_e.wav	4	mando_noswitch_luggage	4060	705
mando_sent_lunchbox_e.wav	4	mando_noswitch_lunchbox	4061	708
mando_sent_man_e.wav	4	mando_noswitch_man	4062	566
mando_sent_milk_e.wav	4	mando_noswitch_milk	4063	745
mando_sent_moon_e.wav	4	mando_noswitch_moon	4064	696
mando_sent_movie_e.wav	4	mando_noswitch_movie	4065	723
mando_sent_mushrooms_e.wav	4	mando_noswitch_mushrooms	4066	715
mando_sent_music_e.wav	4	mando_noswitch_music	4067	901
mando_sent_newspaper_e.wav	4	mando_noswitch_newspaper	4068	736
mando_sent_noodle_e.wav	4	mando_noswitch_noodle	4069	658
mando_sent_number_e.wav	4	mando_noswitch_number	4070	564
mando_sent_peacock_e.wav	4	mando_noswitch_peacock	4071	577
mando_sent_peak_e.wav	4	mando_noswitch_peak	4072	697
mando_sent_pencil_e.wav	4	mando_noswitch_pencil	4073	1067
mando_sent_pepper_e.wav	4	mando_noswitch_pepper	4074	690
mando_sent_phone_e.wav	4	mando_noswitch_phone	4075	767
mando_sent_photo_e.wav	4	mando_noswitch_photo	4076	672
mando_sent_piano_e.wav	4	mando_noswitch_piano	4077	545
mando_sent_picnic_e.wav	4	mando_noswitch_picnic	4078	876
mando_sent_plant_e.wav	4	mando_noswitch_plant	4079	728
mando_sent_plate_e.wav	4	mando_noswitch_plate	4080	590
mando_sent_potato_e.wav	4	mando_noswitch_potato	4081	528
mando_sent_quality_e.wav	4	mando_noswitch_quality	4082	725
mando_sent_question_e.wav	4	mando_noswitch_question	4083	459
mando_sent_radish_e.wav	4	mando_noswitch_radish	4084	616
mando_sent_raincoat_e.wav	4	mando_noswitch_raincoat	4085	604
mando_sent_residence_e.wav	4	mando_noswitch_residence	4086	730
