filename	condition_code	description	item_code
mando_sent_spoon_e.wav	8	mando_noswitch_spoon	8095
mando_sent_squirrel_e.wav	8	mando_noswitch_squirrel	8096
mando_sent_stairs_e.wav	8	mando_noswitch_stairs	8097
mando_sent_story_e.wav	8	mando_noswitch_story	8098
mando_sent_student_e.wav	8	mando_noswitch_student	8099
mando_sent_subway_e.wav	8	mando_noswitch_subway	8100
mando_sent_sun_e.wav	8	mando_noswitch_sun	8101
mando_sent_table_e.wav	8	mando_noswitch_table	8102
mando_sent_teacher_e.wav	8	mando_noswitch_teacher	8103
mando_sent_thing_e.wav	8	mando_noswitch_thing	8104
mando_sent_time_e.wav	8	mando_noswitch_time	8105
mando_sent_tomato_e.wav	8	mando_noswitch_tomato	8106
mando_sent_toothpaste_e.wav	8	mando_noswitch_toothpaste	8107
mando_sent_towel_e.wav	8	mando_noswitch_towel	8108
mando_sent_toy_e.wav	8	mando_noswitch_toy	8109
mando_sent_train_e.wav	8	mando_noswitch_train	8110
mando_sent_TV_e.wav	8	mando_noswitch_TV	8111
mando_sent_umbrella_e.wav	8	mando_noswitch_umbrella	8112
mando_sent_vegetables_e.wav	8	mando_noswitch_vegetables	8113
mando_sent_watch_e.wav	8	mando_noswitch_watch	8114
mando_sent_weekend_e.wav	8	mando_noswitch_weekend	8115
mando_sent_whiteboard_e.wav	8	mando_noswitch_whiteboard	8116
mando_sent_window_e.wav	8	mando_noswitch_window	8117
mando_sent_woman_e.wav	8	mando_noswitch_woman	8118
mando_sent_work_e.wav	8	mando_noswitch_work	8119
mando_sent_world_e.wav	8	mando_noswitch_world	8120
